fixture_id,league,team_name,team_id,location,real_team_winner,pred_percent_home,pred_percent_draw,pred_percent_away,pred_home_win,pred_home_win_draw,pred_away_win,pred_away_win_draw,predicted_goals_home,predicted_goals_away,pred_draw,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Red Cards,expected_goals,goals_prevented,bookmaker_used,goals_over/under_over_2.5,goals_over/under_over_2.5_prob,goals_over/under_under_2.5,goals_over/under_under_2.5_prob,odds_team_win,odds_draw,corners_over_under_over_10.5,corners_over_under_over_10.5_prob,corners_over_under_under_10.5,corners_over_under_under_10.5_prob
1208751,La Liga,Valladolid,720,away,home,0.45,0.45,0.1,True,True,False,False,-2.5,-1.5,False,5.0,5.0,12.0,2.0,8.0,4.0,10.0,6.0,1.0,45%,3.0,0.0,369.0,293.0,79%,,0.72,-1.0,,,,,,,,,,,
1223892,Serie A,Lecce,867,home,away,0.0,0.5,0.5,False,False,True,True,-1.5,-2.5,False,4.0,11.0,17.0,2.0,9.0,8.0,6.0,6.0,1.0,45%,1.0,5.0,359.0,282.0,79%,,0.63,0.0,,,,,,,,,,,
1223892,Serie A,AS Roma,497,away,away,0.0,0.5,0.5,False,False,True,True,-1.5,-2.5,False,6.0,6.0,16.0,4.0,11.0,5.0,11.0,6.0,3.0,55%,2.0,4.0,451.0,369.0,82%,,2.11,0.0,,,,,,,,,,,
1357106,FA Cup,Fulham,36,home,away,0.1,0.45,0.45,False,False,True,True,-3.5,-2.5,False,3.0,3.0,16.0,10.0,10.0,6.0,11.0,12.0,1.0,71%,0.0,3.0,622.0,529.0,85%,,,,,,,,,,,,,,
1357106,FA Cup,Crystal Palace,52,away,away,0.1,0.45,0.45,False,False,True,True,-3.5,-2.5,False,6.0,1.0,8.0,1.0,6.0,2.0,10.0,2.0,0.0,29%,4.0,3.0,263.0,180.0,68%,,,,,,,,,,,,,,
1340338,Primera División,Universitario,2540,home,home,0.45,0.45,0.1,True,True,False,False,-2.5,-1.5,False,6.0,4.0,17.0,7.0,11.0,6.0,7.0,8.0,0.0,49%,2.0,8.0,350.0,283.0,81%,,1.10,,,,,,,,,,,,
1340338,Primera División,Sport Huancayo,2555,away,home,0.45,0.45,0.1,True,True,False,False,-2.5,-1.5,False,9.0,3.0,16.0,4.0,10.0,6.0,12.0,2.0,3.0,51%,5.0,3.0,381.0,303.0,80%,,2.57,,,,,,,,,,,,
1336009,Premier League,Shabab Al Ghazieh,4575,home,away,0.1,0.45,0.45,False,False,True,False,-1.5,-5.5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336009,Premier League,Al Ansar,4569,away,away,0.1,0.45,0.45,False,False,True,False,-1.5,-5.5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340334,Primera División,Deportivo Garcilaso,20960,home,home,0.45,0.45,0.1,True,False,False,False,-3.5,-1.5,False,6.0,4.0,15.0,5.0,9.0,6.0,15.0,3.0,1.0,36%,2.0,3.0,236.0,176.0,75%,,1.87,,,,,,,,,,,,
